Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
330,Sandro Mamukelashvili,25,SAS,PF,61,0,681,.502,.675,.373,.609,.741,.628,.206,.573,107,124,103,112,95,109,85,136,36.8,31.8,,mamuksa01
331,Marcus Smart,30,2TM,PG,34,7,680,.393,.448,.348,.488,.761,.529,.276,.549,84,82,96,90,98,92,114,130,-28.1,-27.2,,smartma01
331,Marcus Smart,30,MEM,PG,19,6,400,.358,.414,.322,.456,.833,.504,.243,.608,77,76,89,84,107,87,100,144,-25.7,-23.8,,smartma01
331,Marcus Smart,30,WAS,PG,15,1,280,.440,.483,.392,.532,.686,.563,.321,.468,94,89,109,98,88,98,132,111,-2.4,-3.4,,smartma01
332,Jalen Pickett,25,DEN,SG,49,4,666,.428,.468,.396,.539,.750,.545,.044,.561,92,86,110,99,96,95,18,133,-1.5,-11.5,,pickeja02
333,Tosan Evbuomwan,23,BRK,SF,28,0,665,.427,.490,.312,.482,.753,.530,.332,.350,91,90,87,89,97,92,137,83,-26.9,-23.5,,evbuoto01
334,Antonio Reeves,24,NOP,SG,44,6,660,.456,.521,.395,.558,.800,.579,.141,.520,98,96,110,103,103,100,58,124,7.6,1.5,,reevean01
335,Kyle Lowry,38,PHI,PG,35,12,659,.350,.414,.330,.474,.818,.525,.282,.752,75,76,91,87,105,91,116,179,-16.1,-13.6,,lowryky01
336,Reed Sheppard,20,HOU,PG,52,3,654,.351,.371,.338,.452,.813,.465,.067,.594,75,68,94,83,104,81,28,141,-43.6,-54.5,,sheppre01
337,Herbert Jones,26,NOP,SF,20,20,648,.436,.530,.306,.500,.825,.541,.233,.419,93,97,85,92,106,94,96,99,-14.8,-13.5,,joneshe01
338,AJ Johnson,20,2TM,SG,29,11,639,.385,.472,.267,.441,.865,.480,.174,.423,82,87,74,81,111,83,72,100,-43.3,-44.2,,johnsaj01
338,AJ Johnson,20,MIL,SG,7,0,44,.421,.357,.600,.500,.500,.503,.105,.263,90,66,167,92,64,87,43,62,-1.6,-2.9,,johnsaj01
338,AJ Johnson,20,WAS,SG,22,11,595,.381,.486,.247,.436,.886,.478,.180,.438,82,89,69,80,114,83,74,104,-41.7,-41.3,,johnsaj01
339,Maxi Kleber,33,DAL,PF,34,4,637,.385,.511,.265,.453,.762,.489,.219,.510,82,94,74,83,98,85,90,121,-17.3,-18.3,,klebima01
340,Delon Wright,32,2TM,PG,40,7,635,.344,.431,.274,.420,.600,.440,.191,.557,74,79,76,77,77,76,79,132,-32.3,-38.6,,wrighde01
340,Delon Wright,32,MIL,PG,26,2,405,.268,.303,.245,.341,.563,.365,.195,.598,57,56,68,63,72,63,80,142,-33.1,-37.6,,wrighde01
340,Delon Wright,32,NYK,PG,14,5,230,.469,.600,.333,.551,.667,.566,.184,.490,100,110,93,101,85,98,76,116,0.8,-1.0,,wrighde01
341,Jericho Sims,26,2TM,C,53,5,632,.634,.634,,.634,.615,.639,.183,.000,136,116,,117,79,111,75,0,12.8,9.6,,simsje01
341,Jericho Sims,26,NYK,C,39,5,422,.609,.609,,.609,.615,.619,.283,.000,130,112,,112,79,107,116,0,6.0,4.4,,simsje01
341,Jericho Sims,26,MIL,C,14,0,210,.680,.680,,.680,,.680,.000,.000,146,125,,125,,118,0,0,6.8,5.2,,simsje01
342,Josh Okogie,26,2TM,SG,40,7,625,.443,.517,.348,.519,.741,.567,.401,.434,95,95,97,96,95,98,165,103,-10.2,-4.4,,okogijo01
342,Josh Okogie,26,PHO,SG,25,1,351,.491,.556,.381,.561,.688,.586,.281,.368,105,102,106,103,88,102,116,87,4.2,2.4,,okogijo01
342,Josh Okogie,26,CHO,SG,15,6,274,.388,.458,.320,.469,.774,.548,.541,.510,83,84,89,86,99,95,223,121,-14.4,-6.8,,okogijo01
343,Jeff Dowtin Jr.,27,PHI,PG,41,3,621,.487,.525,.400,.548,.733,.570,.196,.304,104,96,111,101,94,99,81,72,2.2,-2.9,,dowtije01
344,Daniel Theis,32,NOP,C,38,9,621,.473,.565,.243,.508,.838,.558,.287,.287,101,104,68,93,107,97,118,68,-9.1,-5.4,,theisda01
345,Cory Joseph,33,ORL,PG,50,16,612,.403,.489,.364,.529,.778,.547,.117,.695,86,90,101,97,100,95,48,165,-4.3,-9.6,,josepco01
