,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,YearSalary
212,Tyrese Martin,25,BRK,SG,60,11,1315,0.406,0.492,0.351,0.513,0.793,0.533,0.125,0.606,87.0,90.0,97.0,94.0,102.0,93.0,51.0,144.0,-28.1,-42.3,635853.0
213,Mason Plumlee,34,PHO,C,74,21,1300,0.619,0.631,0.0,0.619,0.648,0.645,0.634,0.02,132.0,116.0,0.0,114.0,83.0,112.0,261.0,5.0,30.6,35.3,2087519.0
214,Jonathan Mogbo,23,TOR,PF,63,18,1286,0.438,0.486,0.243,0.462,0.732,0.496,0.23,0.197,94.0,89.0,67.0,85.0,94.0,86.0,95.0,47.0,-57.7,-62.8,1862265.0
215,Max Strus,28,CLE,SF,50,37,1273,0.442,0.65,0.386,0.594,0.824,0.607,0.091,0.786,95.0,119.0,107.0,109.0,106.0,105.0,38.0,187.0,37.9,23.9,15212068.0
216,Johnny Juzang,23,UTA,SG,64,18,1270,0.429,0.534,0.376,0.554,0.849,0.573,0.112,0.661,92.0,98.0,104.0,102.0,109.0,99.0,46.0,157.0,10.1,-3.3,3087519.0
217,Ron Holland,19,DET,SF,81,2,1266,0.474,0.608,0.238,0.517,0.754,0.556,0.293,0.363,101.0,111.0,66.0,95.0,97.0,96.0,121.0,86.0,-21.8,-19.2,8245320.0
218,Javonte Green,31,2TM,SG,68,19,1258,0.429,0.527,0.326,0.509,0.724,0.541,0.265,0.491,92.0,97.0,91.0,94.0,93.0,94.0,109.0,117.0,-19.7,-22.3,2328350.0
219,Nick Richards,27,2TM,C,57,43,1256,0.591,0.594,0.0,0.591,0.744,0.634,0.461,0.006,126.0,109.0,0.0,109.0,95.0,110.0,190.0,1.0,33.1,48.0,5000000.0
220,Dean Wade,28,CLE,PF,59,30,1252,0.413,0.653,0.36,0.561,0.533,0.563,0.111,0.819,88.0,120.0,100.0,103.0,68.0,98.0,46.0,195.0,9.7,-7.5,6166667.0
221,Ricky Council IV,23,PHI,SF,73,12,1250,0.382,0.488,0.258,0.442,0.804,0.502,0.33,0.46,82.0,90.0,72.0,81.0,103.0,87.0,136.0,109.0,-93.9,-79.1,1891857.0
222,Tidjane Salaün,19,CHO,PF,60,10,1244,0.33,0.4,0.283,0.414,0.713,0.457,0.272,0.594,71.0,73.0,79.0,76.0,91.0,79.0,112.0,141.0,-88.7,-92.2,7488720.0
223,Bobby Portis,29,MIL,PF,49,7,1244,0.466,0.508,0.365,0.52,0.836,0.542,0.123,0.299,100.0,93.0,101.0,96.0,107.0,94.0,51.0,71.0,-27.3,-42.7,12578286.0
224,Moussa Diabaté,23,CHO,C,71,8,1241,0.596,0.609,0.0,0.596,0.595,0.609,0.414,0.021,128.0,112.0,0.0,110.0,76.0,106.0,171.0,5.0,29.9,21.5,957763.0
225,Jeremiah Robinson-Earl,24,NOP,PF,66,9,1239,0.455,0.557,0.341,0.536,0.836,0.563,0.159,0.473,97.0,102.0,95.0,99.0,107.0,98.0,65.0,112.0,-4.9,-9.8,2196970.0
226,Simone Fontecchio,29,DET,SF,75,0,1237,0.402,0.507,0.335,0.504,0.833,0.544,0.225,0.609,86.0,93.0,93.0,93.0,107.0,94.0,93.0,145.0,-29.1,-26.4,7692308.0
227,Cole Anthony,24,ORL,PG,67,22,1234,0.424,0.471,0.353,0.494,0.823,0.531,0.208,0.401,91.0,86.0,98.0,91.0,106.0,92.0,86.0,95.0,-52.8,-53.0,12900000.0
228,Ben Sheppard,23,IND,SG,63,9,1228,0.418,0.591,0.342,0.537,0.889,0.555,0.094,0.693,89.0,108.0,95.0,99.0,114.0,96.0,39.0,165.0,-3.7,-12.4,2663880.0
229,Daniel Gafford,26,DAL,C,57,31,1226,0.702,0.702,0.0,0.702,0.689,0.716,0.486,0.0,150.0,129.0,0.0,129.0,88.0,124.0,200.0,0.0,128.3,137.2,13394160.0
230,John Collins,27,UTA,PF,40,31,1220,0.527,0.577,0.399,0.583,0.848,0.628,0.309,0.279,113.0,106.0,111.0,107.0,109.0,109.0,127.0,66.0,42.3,62.9,26580000.0
231,Caleb Martin,29,2TM,SF,45,24,1218,0.424,0.458,0.359,0.485,0.622,0.513,0.322,0.339,91.0,84.0,100.0,89.0,80.0,89.0,133.0,80.0,-35.2,-44.0,9186594.0
232,Kristaps Porziņģis,29,BOS,C,42,42,1210,0.483,0.537,0.412,0.572,0.809,0.618,0.347,0.436,103.0,99.0,114.0,105.0,104.0,107.0,143.0,103.0,33.6,55.6,29268293.0
233,Brandon Clarke,28,MEM,PF,64,18,1207,0.621,0.647,0.059,0.622,0.701,0.638,0.229,0.045,133.0,119.0,16.0,115.0,90.0,111.0,94.0,11.0,60.3,52.0,12500000.0
234,Deandre Ayton,26,POR,C,40,40,1206,0.566,0.594,0.188,0.573,0.667,0.583,0.128,0.068,121.0,109.0,52.0,105.0,85.0,101.0,53.0,16.0,27.7,6.3,34005126.0
235,Jarace Walker,21,IND,PF,75,5,1187,0.472,0.543,0.405,0.576,0.667,0.59,0.192,0.514,101.0,100.0,113.0,106.0,85.0,102.0,79.0,122.0,24.0,11.2,6362520.0
236,Clint Capela,30,ATL,C,55,41,1176,0.559,0.56,0.0,0.559,0.536,0.564,0.249,0.003,120.0,103.0,0.0,103.0,69.0,98.0,102.0,1.0,12.4,-10.6,22265280.0
237,Cody Martin,29,2TM,SF,53,8,1173,0.418,0.534,0.285,0.485,0.705,0.509,0.188,0.465,90.0,98.0,79.0,89.0,90.0,88.0,77.0,110.0,-38.0,-47.5,8120000.0
238,Mark Williams,23,CHO,C,44,41,1171,0.604,0.609,0.0,0.604,0.804,0.647,0.365,0.009,129.0,112.0,0.0,111.0,103.0,112.0,150.0,2.0,54.5,73.2,4094280.0
239,Precious Achiuwa,25,NYK,C,57,10,1170,0.502,0.529,0.278,0.517,0.594,0.53,0.211,0.11,107.0,97.0,77.0,95.0,76.0,92.0,87.0,26.0,-17.2,-32.8,6000000.0
240,Nikola Jović,21,MIA,PF,46,10,1156,0.456,0.563,0.371,0.56,0.828,0.595,0.231,0.557,98.0,103.0,103.0,103.0,106.0,103.0,95.0,132.0,12.5,15.4,2464200.0
241,Justin Edwards,21,PHI,SF,44,26,1155,0.455,0.548,0.363,0.546,0.696,0.559,0.122,0.503,97.0,101.0,101.0,101.0,89.0,97.0,50.0,119.0,2.4,-13.9,425619.0
242,Vit Krejci,24,ATL,PG,57,16,1153,0.497,0.64,0.437,0.651,0.711,0.661,0.154,0.705,106.0,117.0,121.0,120.0,91.0,115.0,63.0,168.0,62.8,52.7,2162606.0
243,Jonathan Kuminga,22,GSW,PF,47,10,1144,0.454,0.508,0.305,0.495,0.668,0.535,0.414,0.266,97.0,93.0,85.0,91.0,86.0,93.0,170.0,63.0,-54.9,-54.7,7636307.0
